"id","alt_label","definition","identifier","notation","pref_label","uri"
"6367","HLA A3 Antigen;HLA-A3 Antigen","A measurement of the HLA A3 antigen in a biological specimen.","C181443","HLAA3","HLA A3 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181443"
"6368","HLA-A Antigen Type","The identification of the type of human leukocyte antigen, class I, group A (HLA-A), in a biological specimen.","C128955","HLAAAGT","HLA-A Antigen Type","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128955"
"6369","HLA-A Mismatch Count","A measurement to determine the number of mismatches between the recipient and the donor for the human leukocyte antigen, class I, group A (HLA-A).","C128956","HLAAMSC","HLA-A Mismatch Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128956"
"6370","HLA Class IB Antigen","A measurement of the HLA class IB antigen in a biological specimen.","C154747","HLAB","HLA Class IB Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154747"
"6371","HLA-B27 Antigen;Human Leukocyte Antigen B27","A measurement of the human leukocyte antigen B27 (HLA-B27) in a biological specimen.","C100460","HLAB27AG","HLA-B27 Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C100460"
"6372","HLA-B Antigen Type","The identification of the type of human leukocyte antigen, class I, group B (HLA-B), in a biological specimen.","C128957","HLABAGT","HLA-B Antigen Type","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128957"
"6373","HLA-B Mismatch Count","A measurement to determine the number of mismatches between the recipient and the donor for the human leukocyte antigen, class I, group B (HLA-B).","C128958","HLABMSC","HLA-B Mismatch Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128958"
"6374","HLA Class IC Antigen","A measurement of the HLA class IC antigen in a biological specimen.","C154748","HLAC","HLA Class IC Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154748"
"6375","HLA Cw Antigen;HLA-Cw Antigen","A measurement of the HLA Cw antigen in a biological specimen.","C181439","HLACW","HLA Cw Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181439"
"6376","HLA DP Alpha1 Antigen;HLA-DP Alpha1 Antigen","A measurement of the HLA DP alpha1 antigen in a biological specimen.","C181417","HLADPA1","HLA DP Alpha1 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181417"
"6377","HLA DP Beta Antigen;HLA-DP Beta Antigen","A measurement of the total HLA DP beta antigen in a biological specimen.","C181444","HLADPB","HLA DP Beta Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181444"
"6378","HLA DP Beta1 Antigen","A measurement of the HLA DP beta1 antigen in a biological specimen.","C154751","HLADPB1","HLA DP Beta1 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154751"
"6379","HLA DQ Alpha1 Antigen;HLA-DQ Alpha1 Antigen","A measurement of the HLA DQ alpha1 antigen in a biological specimen.","C181416","HLADQA1","HLA DQ Alpha1 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181416"
"6380","HLA DQ Beta1 Antigen","A measurement of the HLA DQ beta1 antigen in a biological specimen.","C154750","HLADQB1","HLA DQ Beta1 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154750"
"6381","HLA DR Antigen;HLA-DR Antigen","A measurement of the total HLA DR antigen in a biological specimen.","C176962","HLADR","HLA DR Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C176962"
"6382","HLA-DR51 Antibody","A measurement of the human leukocyte antigen DR51 (HLA-DR51) antibody in a biological specimen.","C128959","HLADR51A","HLA-DR51 Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128959"
"6383","HLA-DR52 Antibody","A measurement of the human leukocyte antigen DR52 (HLA-DR52) antibody in a biological specimen.","C128960","HLADR52A","HLA-DR52 Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128960"
"6384","HLA-DR53 Antibody","A measurement of the human leukocyte antigen DR53 (HLA-DR53) antibody in a biological specimen.","C128961","HLADR53A","HLA-DR53 Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128961"
"6385","HLA-DR Antigen Type","The identification of the type of human leukocyte antigen, class II, antigen-D-related (HLA-DR), in a biological specimen.","C128962","HLADRAGT","HLA-DR Antigen Type","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128962"
"6386","HLA DR Beta Antigen;HLA-DR Beta Antigen","A measurement of the total HLA DR beta antigen in a biological specimen.","C181192","HLADRB","HLA DR Beta Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181192"
"6387","HLA DR Beta1 Antigen","A measurement of the HLA DR beta1 antigen in a biological specimen.","C154749","HLADRB1","HLA DR Beta1 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154749"
"6388","HLA DR Beta2 Antigen;HLA-DR Beta2 Antigen","A measurement of the HLA DR beta2 antigen in a biological specimen.","C181415","HLADRB2","HLA DR Beta 2 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181415"
"6389","HLA DR Beta3 Antigen;HLA-DR Beta3 Antigen","A measurement of the HLA DR beta3 antigen in a biological specimen.","C181412","HLADRB3","HLA DR Beta 3 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181412"
"6390","HLA DR Beta4 Antigen;HLA-DR Beta4 Antigen","A measurement of the HLA DR beta4 antigen in a biological specimen.","C181413","HLADRB4","HLA DR Beta 4 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181413"
"6391","HLA DR Beta5 Antigen;HLA-DR Beta5 Antigen","A measurement of the HLA DR beta5 antigen in a biological specimen.","C181414","HLADRB5","HLA DR Beta 5 Histocompatibility Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181414"
"6392","HLA-DR Mismatch Count","A measurement to determine the number of mismatches between the recipient and the donor for the human leukocyte antigen, class II, antigen-D-related (HLA-DR).","C128963","HLADRMSC","HLA-DR Mismatch Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128963"
"6393","HLA Class I Antibody","A measurement of the human leukocyte antigen (HLA) antibody class I in a biological specimen.","C128964","HLAIAB","HLA Class I Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128964"
"6394","HLA Class II Antibody","A measurement of the human leukocyte antigen (HLA) antibody class II in a biological specimen.","C128965","HLAIIAB","HLA Class II Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128965"
"6395","HLA Class II Panel Reactive Antibody","A measurement of the panel reactive antibody (the reactivity between host immune cells and donor) human leukocyte antigen class II in a biological specimen.","C128966","HLAIIPRA","HLA Class II Panel Reactive Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128966"
"6396","HLA Class I Panel Reactive Antibody","A measurement of the panel reactive antibody (the reactivity between host immune cells and donor) human leukocyte antigen class I in a biological specimen.","C128967","HLAIPRA","HLA Class I Panel Reactive Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128967"
"6397","HLA Mismatch Count","A measurement to determine the number of mismatches between the recipient and the donor for the human leukocyte antigens (HLA).","C128933","HLAMSC","HLA Mismatch Count","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128933"
"6398","Halazepam","A measurement of the halazepam present in a biological specimen.","C139078","HLZPM","Halazepam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C139078"
"6399","Hemosiderin","A measurement of the hemosiderin complex in a biological specimen.","C96659","HMOSIDRN","Hemosiderin Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96659"
"6400","Homocitrulline","A measurement of the homocitrulline in a biological specimen.","C154758","HOMOCIT","Homocitrulline Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154758"
"6401","Homocysteine","A measurement of the homocysteine amino acid in a biological specimen.","C74741","HOMOCY","Homocysteine Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74741"
"6402","Hypochromic Erythrocytes/Erythrocytes","A relative measurement (ratio or percentage) of the hypochromic erythrocytes to total erythrocytes in a biological specimen.","C181409","HORBCRBC","Hypochromic Erythrocytes to Erythrocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181409"
"6403","Howell-Jolly Bodies","A measurement of the Howell-Jolly bodies (spherical, blue-black condensed DNA inclusions within the body of a red blood cell that appear under Wright-stain) in a biological specimen.","C74704","HOWJOL","Howell-Jolly Body Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74704"
"6404","Hypochromia;Hypochromic Erythrocytes","An observation which indicates that the hemoglobin concentration in a red blood cell specimen has fallen below a specified level.","C64802","HPOCROM","Hypochromia","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C64802"
"6405","Hyperchromic Erythrocytes/Erythrocytes","A relative measurement (ratio or percentage) of the hyperchromic erythrocytes to total erythrocytes in a biological specimen.","C181408","HRRBCRBC","Hyperchromic Erythrocytes to Erythrocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C181408"
"6406","Hairy Cells/Total Cells","A relative measurement (ratio or percentage) of the hairy cells to total cells in a biological specimen.","C135427","HRYCECE","Hairy Cells to Total Cells Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135427"
"6407","Hairy Cells/Leukocytes","A relative measurement (ratio or percentage) of the hairy cells (B-cell lymphocytes with hairy projections from the cytoplasm) to all leukocytes in a biological specimen.","C135428","HRYCELE","Hairy Cells to Leukocytes Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C135428"
"6408","Hairy Cells/Lymphocytes","A relative measurement (ratio or percentage) of the hairy cells (b-cell lymphocytes with hairy projections from the cytoplasm) to all lymphocytes in a biological specimen .","C74640","HRYCELY","Hairy Cell to Lymphocyte Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74640"
"6409","Heat Shock Protein 70","A measurement of the heat shock protein 70 in a biological specimen.","C147368","HSP70","Heat Shock Protein 70 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147368"
"6410","Heat Shock Protein 90 Alpha","A measurement of the heat shock protein 90 alpha in a biological specimen.","C147369","HSP90A","Heat Shock Protein 90 Alpha Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147369"
"6411","Huntingtin Protein","A measurement of the huntingtin protein in a biological specimen.","C142279","HTTP","Huntingtin Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C142279"
"6412","Huntingtin Protein, Mutant","A measurement of the mutant huntingtin protein in a biological specimen.","C142280","HTTPM","Mutant Huntingtin Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C142280"
"6413","Homovanillic Acid","A measurement of the homovanillic acid metabolite in a biological specimen.","C74863","HVA","Homovanillic Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74863"
"6414","Hyaluronic Acid","A measurement of hyaluronic acid in a biological specimen.","C112319","HYALUAC","Hyaluronic Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112319"
"6415","Hydrocodone","A measurement of the hydrocodone present in a biological specimen.","C74879","HYDCDN","Hydrocodone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74879"
"6416","1'-Hydroxymidazolam;1-Hydroxymidazolam;Alpha-Hydroxymidazolam","A measurement of the 1-Hydroxymidazolam present in a biological specimen.","C154732","HYDMDZ1","1-Hydroxymidazolam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154732"
"6417","4-Hydroxymidazolam","A measurement of the 4-hydroxymidazolam present in a biological specimen.","C154731","HYDMDZ4","4-Hydroxymidazolam Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154731"
"6418","Hydromorphone","A measurement of the hydromorphone present in a biological specimen.","C74880","HYDMRPHN","Hydromorphone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74880"
"6419","Hydrogen","A measurement of the hydrogen in a biological specimen.","C102275","HYDROGEN","Hydrogen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C102275"
"6420","Hyperchromia;Hyperchromic Erythrocytes","A measurement of the prevalence of the erthrocytes with an elevated hemoglobin concentration.","C96669","HYPERCHR","Hyperchromia Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C96669"
"6421","17-Hydroxyprogesterone;17-OHP","A measurement of the 17-Hydroxyprogesterone in a biological specimen.","C147370","HYPGST17","17-Hydroxyprogesterone Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147370"
"6422","Hydroxyproline","A measurement of the total hydroxyproline in a biological specimen.","C80190","HYPRLN","Hydroxyproline Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C80190"
"6423","Hypersegmented Cells","A measurement of the hypersegmented (more than five lobes) neutrophils in a biological specimen.","C74612","HYPSEGCE","Hypersegmented Neutrophil Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74612"
"6424","Hydroxylysine","A measurement of the hydroxylysine in a biological specimen.","C154767","HYXLYS","Hydroxylysine Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154767"
"6425","Insulinoma-Associated Protein 2 Antibody","A measurement of the insulinoma-associated protein 2 antibody in a biological specimen.","C119284","IA2AB","Insulinoma-Associated Protein 2 Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C119284"
"6426","5-Hydroxyindoleacetic Acid Excretion Rate;5-HydroxyindoleaceticAcid Excretion Rate","A measurement of the amount of 5-hydroxyindoleacetic acid being excreted in a biological specimen over a defined amount of time (e.g. one hour).","C163454","IA5OHEXR","5-Hydroxyindoleacetic Acid Excretion Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163454"
"6427","5-Hydroxyindoleacetate;5-Hydroxyindoleacetic Acid","A measurement of 5-hydroxyindoleacetic acid in a biological specimen.","C112217","IAA5OH","5-Hydroxyindoleacetic Acid Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112217"
"6428","5-Hydroxyindoleacetic Acid/Creatinine","A relative measurement (ratio or percentage) of the 5-hydroxyindoleacetic acid to creatinine in a biological specimen.","C170578","IAA5OHCR","5-Hydroxyindoleacetic Acid to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C170578"
"6429","IDL Apolipoprotein B","A measurement of the apolipoprotein B in the intermediate density lipoprotein fraction of a biological specimen.","C184514","IAPOB","IDL Apolipoprotein B Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184514"
"6430","Amylin;Islet Amyloid Polypeptide","A measurement of the islet amyloid polypeptide in a biological specimen.","C127622","IAPP","Islet Amyloid Polypeptide Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C127622"
"6431","Total Iron Binding Capacity","A measurement of the amount of iron needed to fully saturate the transferrin in a biological specimen.","C74718","IBCT","Total Iron Binding Capacity","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74718"
"6432","Unsaturated Iron Binding Capacity","A measurement of the binding capacity of unsaturated iron in a biological specimen.","C74719","IBCU","Unsaturated Iron Binding Capacity Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74719"
"6433","IA-2 Antibody;ICA-512 Antibody;Islet Antigen 2 Autoantibody;Islet Cell 512 Antibody;Islet Cell Antigen 512 Autoantibody","A measurement of the islet cell 512 antibody in a biological specimen.","C81985","IC512AB","Islet Cell 512 Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81985"
"6434","Islet Cell 512 Antigen","A measurement of the islet cell 512 antigen in a biological specimen.","C81986","IC512AG","Islet Cell 512 Antigen Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81986"
"6435","Islet Cell Antibody","A measurement of the total islet cell antibodies in a biological specimen.","C154725","ICAB","Islet Cell Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154725"
"6436","Islet Cell Cytoplasmic IgG Antibody","A measurement of the islet cell cytoplasmic IgG antibody in a biological specimen.","C122126","ICAIGGAB","Islet Cell Cytoplasmic IgG Antibody Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122126"
"6437","Intercellular Adhesion Molecule","A measurement of the total intercellular adhesion molecule in a biological specimen.","C124344","ICAM","Intercellular Adhesion Molecule Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C124344"
"6438","CD54;Intercellular Adhesion Molecule 1","A measurement of the intercellular adhesion molecule 1 in a biological specimen.","C124345","ICAM1","Intercellular Adhesion Molecule 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C124345"
"6439","Intercellular Adhesion Molecule 3","A measurement of the intercellular adhesion molecule 3 in a biological specimen.","C165968","ICAM3","Intercellular Adhesion Molecule 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165968"
"6440","Indocyanine Green","A measurement of the indocyanine green in a biological specimen.","C184512","ICG","Indocyanine Green Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184512"
"6441","Indocyanine Green Clearance","A measurement of the volume of serum or plasma that would be cleared of indocyanine green by excretion for a specified unit of time (e.g. one minute).","C184513","ICGCLR","Indocyanine Green Clearance Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184513"
"6442","Icteric Index;Icterus","A measurement of the yellow color of a biological specimen, due to the presence of bile pigments.","C111232","ICTERUSI","Icteric Index","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111232"
"6443","IDL Cholesterol;Intermediate Density Lipoprotein","A measurement of the intermediate density lipoprotein in a biological specimen.","C112325","IDL","Intermediate Density Lipoprotein Cholesterol Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112325"
"6444","IDL Particles;Intermediate Density Lipoproteins Particles","A measurement of the concentration of IDL particles in a biological specimen.","C116197","IDLP","IDL Particles Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C116197"
"6445","IDL Cholesterol and VLDL Cholesterol Subtype 3;IDL+VLDL Cholesterol Subtype 3","A measurement of the intermediate density lipoprotein cholesterol and the very low density lipoprotein cholesterol subtype 3 in a biological specimen.","C147371","IDLVLDL3","IDL Cholesterol and VLDL Cholesterol Subtype 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147371"
"6446","Interferon Alpha-Induced Protein 27;Interferon Alpha-Inducible Protein 27","A measurement of the interferon alpha-inducible protein 27 in a biological specimen.","C163455","IFI27","Interferon Alpha-Inducible Protein 27 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163455"
"6447","Interferon-Induced Protein 44","A measurement of the interferon-induced protein 44 in a biological specimen.","C163456","IFI44","Interferon-Induced Protein 44 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163456"
"6448","Interferon-Induced Protein 44-Like","A measurement of the interferon-induced protein 44-like in a biological specimen.","C163457","IFI44L","Interferon-Induced Protein 44-Like Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163457"
"6449","Interferon Alpha-Inducible Protein 6","A measurement of the interferon alpha-inducible protein 6 in a biological specimen.","C163458","IFI6","Interferon Alpha-Inducible Protein 6 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163458"
"6450","Interferon-Induced 56 kDa Protein;Interferon-Induced Protein With Tetratricopeptide Repeats 1","A measurement of the interferon-induced 56 KDa protein in a biological specimen.","C163459","IFIT1","Interferon-Induced 56 kDa Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163459"
"6451","Interferon-Induced 60 kDa Protein;Interferon-Induced Protein With Tetratricopeptide Repeats 3","A measurement of the interferon-induced 60 KDa protein in a biological specimen.","C163460","IFIT3","Interferon-Induced 60 kDa Protein Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C163460"
"6452","Interferon Alpha","A measurement of the total interferon alpha in a biological specimen.","C81994","IFNA","Interferon Alpha Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81994"
"6453","Interferon Alpha Type 2","A measurement of the interferon alpha type 2 in a biological specimen.","C184646","IFNA2","Interferon Alpha Type 2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184646"
"6454","Interferon Beta","A measurement of the interferon beta in a biological specimen.","C81995","IFNB","Interferon Beta Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81995"
"6455","Interferon Gamma","A measurement of the interferon gamma in a biological specimen.","C81996","IFNG","Interferon Gamma Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81996"
"6456","Immunoglobulin A","A measurement of the total immunoglobulin A in a biological specimen.","C81969","IGA","Immunoglobulin A Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81969"
"6457","IgA/C3;IgA/Complement C3;Immunoglobulin A/Complement C3","A relative measurement (ratio) of the immunoglobulin A to complement C3 in a biological specimen.","C184515","IGAC3","Immunoglobulin A to Complement C3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C184515"
"6458","IgG IgM IgA Total","A measurement of the total IgG, IgM, and IgA in a biological specimen.","C111233","IGAGM","IgG IgM IgA Total Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C111233"
"6459","Immunoglobulin D","A measurement of the Immunoglobulin D in a biological specimen.","C98745","IGD","Immunoglobulin D Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C98745"
"6460","Immunoglobulin E","A measurement of the Immunoglobulin E in a biological specimen.","C81970","IGE","Immunoglobulin E Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81970"
"6461","Insulin-like Growth Factor-1","A measurement of the insulin-like growth factor-1 in a biological specimen.","C74864","IGF1","Insulin Like Growth Factor-1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74864"
"6462","Insulin-like Growth Factor-2","A measurement of the insulin-like growth factor-2 in a biological specimen.","C74865","IGF2","Insulin Like Growth Factor-2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C74865"
"6463","Insulin-Like Growth Factor Binding Prot1;Insulin-Like Growth Factor Binding Protein 1","A measurement of the total insulin-like growth factor binding protein 1 in a biological specimen.","C128968","IGFBP1","Insulin-Like Growth Factor Binding Protein 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128968"
"6464","Insulin-Like Growth Factor Binding Prot2;Insulin-Like Growth Factor Binding Protein 2","A measurement of the insulin-like growth factor binding protein 2 in a biological specimen.","C128969","IGFBP2","Insulin-Like Growth Factor Binding Protein 2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C128969"
"6465","Insulin-Like Growth Factor Binding Prot3;Insulin-Like Growth Factor Binding Protein 3","A measurement of the insulin-like growth factor binding protein 3 in a biological specimen.","C112322","IGFBP3","Insulin-Like Growth Factor Binding Protein 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C112322"
"6466","AGM;FSTL2;IBP-7;IGFBP-7;IGFBP-7v;IGFBPRP1;Insulin-Like Growth Factor Binding Prot7;Insulin-like Growth Factor Binding Protein 7;MAC25;PSF;RAMSVPS;TAF","A measurement of the insulin-like growth factor binding protein 7 in a biological specimen.","C165969","IGFBP7","Insulin-Like Growth Factor Binding Protein 7 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C165969"
"6467","Immunoglobulin G","A measurement of the total immunoglobulin G in a biological specimen.","C81971","IGG","Immunoglobulin G Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C81971"
"6468","Immunoglobulin G Subclass 1","A measurement of the immunoglobulin G subclass 1 in a biological specimen.","C122127","IGG1","Immunoglobulin G Subclass 1 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122127"
"6469","Immunoglobulin G Subclass 2","A measurement of the immunoglobulin G subclass 2 in a biological specimen.","C122128","IGG2","Immunoglobulin G Subclass 2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122128"
"6470","Immunoglobulin G Subclass 3","A measurement of the immunoglobulin G subclass 3 in a biological specimen.","C122129","IGG3","Immunoglobulin G Subclass 3 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122129"
"6471","Immunoglobulin G Subclass 4","A measurement of the immunoglobulin G subclass 4 in a biological specimen.","C122130","IGG4","Immunoglobulin G Subclass 4 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C122130"
"6472","IgG/Albumin;Immunoglobulin G/Albumin","A relative measurement (ratio or percentage) of the immunoglobulin G to albumin in a biological specimen.","C147372","IGGALB","Immunoglobulin G to Albumin Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147372"
"6473","IgG Clearance","A measurement of the IgG clearance in a biological specimen.","C147373","IGGC","IgG Clearance","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147373"
"6474","IgG Clearance/Albumin Clearance","A relative measurement (ratio) of the IgG clearance to albumin clearance in a biological specimen.","C147374","IGGCALBC","IgG Clearance to Albumin Clearance Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147374"
"6475","Immunoglobulin G/Creatinine","A relative measurement (ratio or percentage) of the immunoglobulin G to creatinine in a biological specimen.","C119285","IGGCREAT","Immunoglobulin G to Creatinine Ratio Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C119285"
"6476","IgG Synthesis Rate","A measurement of the IgG synthesis rate in a biological specimen.","C147375","IGGSYNRT","IgG Synthesis Rate","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C147375"
"6477","Immunoglobulin Heavy Constant Gamma 2","A measurement of the immunoglobulin heavy constant gamma 2 in a biological specimen.","C154737","IGHG2","Immunoglobulin Heavy Constant Gamma 2 Measurement","http://id.d4k.dk/dataset/cdisc/ct/v48/sdtm/C65047-C154737"
